"ElementName","DataType","Size","Required","ElementDescription","ValueRange","Notes","Aliases"
"subjectkey","GUID","","Required","The NDAR Global Unique Identifier (GUID) for research subject","NDAR*","","guid,nimhid,z1"
"src_subject_id","String","20","Required","Subject ID how it's defined in lab/project","","","catieid,id,participant_id,ptid,randid,record_id,subject_id,subjectid,subjid,z2"
"interview_date","Date","","Required","Date on which the interview/genetic test/sampling/imaging/biospecimen was completed. MM/DD/YYYY","","","bprs_doa,hamd_date_stability,hamd_date_stability_percent,hamd_todays_date,hamddt,intvdate,testdate,v10_hamd_age,v10_hamd_date,v1_hamd_date,v2_hamd_date,visit_date,z3"
"interview_age","Integer","","Required","Age in months at the time of the interview/test/sampling/imaging.","0 :: 1260","Age is rounded to chronological month. If the research participant is 15-days-old at time of interview, the appropriate value would be 0 months. If the participant is 16-days-old, the value would be 1 month.","age,intvage,v1_hamd_age,v2_hamd_age,z4"
"sex","String","20","Required","Sex of subject at birth","M;F; O; NR","M = Male; F = Female; O=Other; NR = Not reported","gender,z5"
"crcid","String","40","Recommended","CRC ID/ROA ID","","",""
"date","Date","","Recommended","Open Label Baseline date","","Complete only if starting Open Label Phase. OL Baseline contact is visit where participant is given active drug - included in random data set.",""
"update","Integer","","Recommended","Updated form","0;1","1= yes; 0= no",""
"lang_visit","Integer","","Recommended","Language during visit","0;1","1=Spanish; 0=English","spanish"
"hsoin","Integer","","Recommended","HRS Initial insomnia","0::2;-9","0=Absent: No difficulty falling asleep; 1=Mild:Complains of occasional difficulty falling asleep — i.e., more than 1/2 hour; 2=Severe: Complains of nightly difficulty falling asleep; -9 = Not answered","10013,ham4,ham_initial_insomnia,ham_insom_early,hamd17_early_insomnia,hamd4,hamd_06,hamd_4,hamd_4_stability,hamd_4_stability_percent,hamilton4,hrsd4,insom_er,insom_hrsd,insomnia,insomnia_early,insomniaearly,v10_hamd_6_insomnia_early,v1_hamd_6_insomnia_early,v2_hamd_6_insomnia_early"
"hmnin","Integer","","Recommended","HRS Middle insomnia","0::2;-9","0=Absent: No difficulty; 1=Mild: Patient complains of being restless and disturbed during the night; 2=Severe: Waking during the night—any getting out of bed rates 2 (except for purposes of voiding); -9 = Not answered","10014,ham5,ham_insom_mid,ham_insomnia_middle,hamd17_middle_insomnia,hamd5,hamd_07,hamd_5,hamd_5_stability,hamd_5_stability_percent,hamilton5,hrsd5,insom_md,insomnia_middle,insomniamiddle,middle,midinsom_hrsd,v10_hamd_7_insomnia_middle,v1_hamd_7_insomnia_middle,v2_hamd_7_insomnia_middle"
"hemin","Integer","","Recommended","HRS Late insomnia","0::2;-9","0=Absent: No difficulty; 1=Mild: Waking in early hours of the morning but goes back to sleep; 2=Severe: Unable to fall asleep again if he gets out of bed; -9 = Not answered","10015,delayed,delayinsom_hrsd,ham6,ham_insom_late,ham_terminal_insomnia,hamd17_late_insomnia,hamd6,hamd_08,hamd_6,hamd_6_stability,hamd_6_stability_percent,hamilton6,hrsd6,insom_lt,insomnia_late,insomnialate,v10_hamd_8_insomnia_late,v1_hamd_8_insomnia_late,v2_hamd_8_insomnia_late"
"hmdsd","Integer","","Recommended","HRS Depressed mood","0::4;-9","0=Absent; 1= Doubtful or trivial:These feeling states indicated only on questioning; 2=Mild:These feeling states spontaneously reported verbally; 3=Moderate:Communicates feeling states non-verbally—i.e., through facial expression, posture, voice, and tendency to weep; 4=Severe: Patient reports VIRTUALLY ONLY these feeling states in his spontaneous verbal and non-verbal communication; -9 = Not answered","10010,depmood,depress,depress_hrsd,depressed,ham1,ham_depressed,hamd1,hamd17_depmood,hamd6_1,hamd_01,hamd_1,hamd_1_stability,hamd_1_stability_percent,hamilton1,hrsd1,mood_hrsd,v10_hamd_1_depressedmood,v1_hamd_1_depressedmood,v2_hamd_1_depressedmood"
"hpanx","Integer","","Recommended","HRS Psychic anxiety","0::4;-9","0=Absent: No difficulty; 1=Doubtful or trivial: Subjective tension and irritability; 2=Mild: Worrying about minor matters; 3=Moderate: Apprehensive attitude apparent in face or speech; 4=Severe: Fears expressed without questioning; -9 = Not answered","10021,anxiety_psychic,anxietypsychic,ham10,ham_anx_psy,ham_anxiety_psychic,hamd10,hamd17_anxpsychic,hamd6_5,hamd_10_stability,hamd_10_stability_percent,hamd_24,hamilton10,hrsd10,psychic,psychicanx_hrsd,v10_hamd_12_anxiety_psychic,v1_hamd_12_anxiety_psychic,v2_hamd_12_anxiety_psychic"
"hinsg","Integer","","Recommended","HRS Loss of insight","0::2;-9","0=Acknowledges being depressed and ill; 1=Acknowledges illness but attributes cause to bad food, climate, over work, virus, need for rest, etc.; 2=Denies being ill at all; -9 = Not answered","10041,ham17,ham_insight,ham_insight_loss,hamd16,hamd17,hamd17_insight,hamd_17,hamd_17_stability,hamd_17_stability_percent,hamd_28,hamilton17,hrsd17,insight,insight_hrsd,lossinsight_hrsd,v10_hamd_15_insight,v1_hamd_15_insight,v2_hamd_15_insight"
"happt","Integer","","Recommended","HRS Appetite","0::2;-9","0=Normal appetite; 1=Mild reduction; 2=Moderate to severe reduction; -9 = Not answered","10036,appetite_hrsd,ham12,ham_som_gastro,hamd12,hamd17_somsxs_gastro,v10_hamd_4_somaticgastro,v1_hamd_4_somaticgastro,v2_hamd_4_somaticgastro"
"hwl","Integer","","Recommended","HRS Weight loss","0::2;-9","0=No weight loss; 1=Probably weight loss associated with present illness; 2=Definite (according to patient) weight loss; -9 = Not answered","10035,ham16,ham_weight_loss,ham_weightloss,hamd17_weight,hamd_14,hamd_16,hamd_16_stability,hamd_16_stability_percent,hamilton16b,hrsd16a,weight,wghtloss,wghtlss_hrsd,wtloss"
